,data_set,np_seed,tf_seed,serialized_model,trial_idx,rectifier,kernel_init,kernel_size,strides,train_batch_size,epochs,q_train_size,retrain_tries,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-10 03:45:54.602736,mnist,0,0,Sequential2020-06-10 03:45:54.602736,1,relu,GlorotUniform,7,2,128,10,10000,1,2.807354922057604,0.9839000105857849,0.8774999976158142,0.8709999918937683
2020-06-10 03:56:56.097483,mnist,0,0,Sequential2020-06-10 03:56:56.097483,1,relu,GlorotUniform,7,2,128,10,10000,2,1.584962500721156,0.9886000156402588,0.8999999761581421,0.8223000168800354
2020-06-10 04:08:00.532783,mnist,0,0,Sequential2020-06-10 04:08:00.532783,1,relu,GlorotUniform,7,2,128,10,10000,2,2.0,0.989799976348877,0.9625999927520752,0.9684000015258789
2020-06-10 04:19:02.218266,mnist,0,0,Sequential2020-06-10 04:19:02.218266,1,relu,GlorotUniform,7,2,128,10,10000,2,2.321928094887362,0.9909999966621399,0.9422000050544739,0.7174000144004822
2020-06-10 04:30:01.628312,mnist,0,0,Sequential2020-06-10 04:30:01.628312,1,relu,GlorotUniform,7,2,128,10,10000,2,2.584962500721156,0.991599977016449,0.9617999792098999,0.9611999988555908
2020-06-10 04:41:12.401545,mnist,0,0,Sequential2020-06-10 04:41:12.401545,1,relu,GlorotUniform,7,2,128,10,10000,2,2.807354922057604,0.9872999787330627,0.8522999882698059,0.8424999713897705
2020-06-10 04:57:33.538862,mnist,0,0,Sequential2020-06-10 04:57:33.538862,1,relu,GlorotUniform,7,2,128,10,10000,3,1.584962500721156,0.9901999831199646,0.9621000289916992,0.9610999822616577
2020-06-10 05:13:45.440835,mnist,0,0,Sequential2020-06-10 05:13:45.440835,1,relu,GlorotUniform,7,2,128,10,10000,3,2.0,0.9900000095367432,0.939300000667572,0.8154000043869019
2020-06-10 05:30:02.819312,mnist,0,0,Sequential2020-06-10 05:30:02.819312,1,relu,GlorotUniform,7,2,128,10,10000,3,2.321928094887362,0.9908999800682068,0.9678000211715698,0.984000027179718
2020-06-10 05:46:22.345371,mnist,0,0,Sequential2020-06-10 05:46:22.345371,1,relu,GlorotUniform,7,2,128,10,10000,3,2.584962500721156,0.9908000230789185,0.9667999744415283,0.9702000021934509
2020-06-10 06:02:37.477278,mnist,0,0,Sequential2020-06-10 06:02:37.477278,1,relu,GlorotUniform,7,2,128,10,10000,3,2.807354922057604,0.991100013256073,0.9258999824523926,0.9573000073432922
2020-06-10 06:05:33.142081,mnist,0,0,Sequential2020-06-10 06:05:33.142081,2,relu,GlorotUniform,3,2,128,10,10000,1,1.584962500721156,0.9829000234603882,0.805400013923645,0.8852999806404114
2020-06-10 06:08:26.182700,mnist,0,0,Sequential2020-06-10 06:08:26.182700,2,relu,GlorotUniform,3,2,128,10,10000,1,2.0,0.9855999946594238,0.7523999810218811,0.7235999703407288
