,data_set,np_seed,tf_seed,serialized_model,kernels_per_layer,rectifier,kernel_init,conv_kernel_sizes,conv_strides,dropout_rates,pool_sizes,pool_strides,train_batch_size,epochs,q_train_size,ignore_layers,retrain_tries,retrain_init,bits,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-12_15:03:08.606180,mnist,0,0,Sequential2020-06-12_15:03:08.606210,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(4, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9330000281333923,0.257099986076355,0.39750000834465027
2020-06-12_15:03:37.862776,mnist,0,0,Sequential2020-06-12_15:03:37.862807,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.8992999792098999,0.364300012588501,0.13420000672340393
2020-06-12_15:04:05.960955,mnist,0,0,Sequential2020-06-12_15:04:05.960987,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.8992999792098999,0.36320000886917114,0.16750000417232513
2020-06-12_15:04:34.126828,mnist,0,0,Sequential2020-06-12_15:04:34.126859,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.8992999792098999,0.3675000071525574,0.1446000039577484
2020-06-12_15:05:27.702789,mnist,0,0,Sequential2020-06-12_15:05:27.702820,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.9150999784469604,0.24650000035762787,0.11230000108480453
2020-06-12_15:06:20.952295,mnist,0,0,Sequential2020-06-12_15:06:20.952326,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.9117000102996826,0.29980000853538513,0.17239999771118164
2020-06-12_15:07:13.300478,mnist,0,0,Sequential2020-06-12_15:07:13.300508,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(3, 2)","(2, 2)",128,10,10000,[],2,greedy,5.0,0.9117000102996826,0.2874999940395355,0.15870000422000885
2020-06-12_15:07:41.129083,mnist,0,0,Sequential2020-06-12_15:07:41.129117,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,1.584962500721156,0.8779000043869019,0.30799999833106995,0.20090000331401825
2020-06-12_15:08:08.997315,mnist,0,0,Sequential2020-06-12_15:08:08.997345,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,4.0,0.8779000043869019,0.3912000060081482,0.11249999701976776
2020-06-12_15:08:36.062474,mnist,0,0,Sequential2020-06-12_15:08:36.062505,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],1,greedy,5.0,0.8779000043869019,0.39160001277923584,0.12139999866485596
2020-06-12_15:09:28.967382,mnist,0,0,Sequential2020-06-12_15:09:28.967413,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,1.584962500721156,0.8942999839782715,0.5081999897956848,0.5737000107765198
2020-06-12_15:10:20.923501,mnist,0,0,Sequential2020-06-12_15:10:20.923541,"(16, 8)",relu,GlorotUniform,"(4, 3)","(2, 2)","(0.5, 0.5)","(2, 2)","(2, 2)",128,10,10000,[],2,greedy,4.0,0.8992999792098999,0.534500002861023,0.38580000400543213
